seed,date,strategy,cost_coeff
23,2021-11-11,simple,0.0013913575574244722
23,2021-11-12,simple,0.0013460034320769392
23,2021-11-15,simple,0.0013233354396979097
23,2021-11-16,simple,0.0013528475068408056
23,2021-11-17,simple,0.0013526735145677105
23,2021-11-18,simple,0.0014086629434878208
23,2021-11-19,simple,0.0014381091610290184
23,2021-11-22,simple,0.0014785314629626285
23,2021-11-23,simple,0.0014582194063434218
23,2021-11-24,simple,0.0014621395352562403
23,2021-11-26,simple,0.0016206471349443131
23,2021-11-29,simple,0.0015272136116196325
23,2021-11-30,simple,0.0016099623430199407
23,2021-12-01,simple,0.0015906963255425076
23,2021-12-02,simple,0.0016831775794383616
23,2021-12-03,simple,0.0016614339964597118
23,2021-12-06,simple,0.0016701029796405004
23,2021-12-07,simple,0.0017116721303602849
23,2021-12-08,simple,0.001713370189697712
23,2021-12-09,simple,0.0017595198118691472
23,2021-12-10,simple,0.0017082445831624886
23,2021-12-13,simple,0.0017468475348734437
23,2021-12-14,simple,0.001769650878387286
23,2021-12-15,simple,0.001843892089478104
23,2021-12-16,simple,0.001849552205986392
23,2021-12-17,simple,0.0019239754436368949
23,2021-12-20,simple,0.001918518239549885
23,2021-12-21,simple,0.0019951779620602907
23,2021-12-22,simple,0.00198159493366851
23,2021-12-23,simple,0.001998615204878051
23,2021-12-27,simple,0.00201659720303392
23,2021-12-28,simple,0.0017851691586828137
23,2021-12-29,simple,0.0017408052271659141
23,2021-12-30,simple,0.0016349178584748802
23,2021-12-31,simple,0.0015208580151250821
23,2022-01-03,simple,0.00144869220350808
23,2022-01-04,simple,0.0014514788362665553
23,2022-01-05,simple,0.0015027158205479752
23,2022-01-06,simple,0.0013659197848429653
23,2022-01-07,simple,0.001419732153298044
23,2022-01-10,simple,0.0013588776637313887
23,2022-01-11,simple,0.0014211731789926924
23,2022-01-12,simple,0.001369252013155149
23,2022-01-13,simple,0.0013957877064894359
23,2022-01-14,simple,0.0013583965607193492
23,2022-01-18,simple,0.0015142338139590699
23,2022-01-19,simple,0.0015203055155524959
23,2022-01-20,simple,0.0015540996987899027
23,2022-01-21,simple,0.001492107504864908
23,2022-01-24,simple,0.0015734083926036621
23,2022-01-25,simple,0.0016842272806624915
23,2022-01-26,simple,0.001693487549811307
23,2022-01-27,simple,0.0018536826162752588
23,2022-01-28,simple,0.0019405384756724566
23,2022-01-31,simple,0.002129858687102181
23,2022-02-01,simple,0.0021913694129591975
23,2022-02-02,simple,0.0021694436135328613
23,2022-02-03,simple,0.0021934768152143736
23,2022-02-04,simple,0.002101407937844645
23,2022-02-07,simple,0.0020916280413241575
23,2022-02-08,simple,0.002125898290834538
23,2022-02-09,simple,0.0022050796863100895
23,2022-02-10,simple,0.002224142733908261
23,2022-02-11,simple,0.0022564268889451373
23,2022-02-14,simple,0.002214924449303953
23,2022-02-15,simple,0.002340411303398603
23,2022-02-16,simple,0.0021237499958230046
23,2022-02-17,simple,0.0022093732278640906
23,2022-02-18,simple,0.002136598192499107
23,2022-02-22,simple,0.002127524576294114
23,2022-02-23,simple,0.002145215244059327
23,2022-02-24,simple,0.002263546999303987
23,2022-02-25,simple,0.0023977581327887334
23,2022-02-28,simple,0.0023273865300588617
23,2022-03-01,simple,0.0023771911352807244
23,2022-03-02,simple,0.0023287712353390402
23,2022-03-03,simple,0.002417892828176629
23,2022-03-04,simple,0.0024764185469015026
23,2022-03-07,simple,0.0025656688685638846
23,2022-03-08,simple,0.002582968112171242
23,2022-03-09,simple,0.002731633044797584
23,2022-03-10,simple,0.0026924802151131787
23,2022-03-11,simple,0.0027057777363241817
23,2022-03-14,simple,0.002766808406272829
23,2022-03-15,simple,0.002795980590868342
23,2022-03-16,simple,0.0029916438631998033
23,2022-03-17,simple,0.0028959247264850924
23,2022-03-18,simple,0.0030112262299407996
23,2022-03-21,simple,0.0028610261845653353
23,2022-03-22,simple,0.002931532119182241
23,2022-03-23,simple,0.0029817330695377244
23,2022-03-24,simple,0.0029038191979901128
23,2022-03-25,simple,0.002723845274223825
23,2022-03-28,simple,0.0026015780492478504
23,2022-03-29,simple,0.0026757790285273195
23,2022-03-30,simple,0.0026226351158696497
23,2022-03-31,simple,0.0024997836409287465
23,2022-04-01,simple,0.00243536704951433
23,2022-04-04,simple,0.0023657236478606116
23,2022-04-05,simple,0.0022379542680354
23,2022-04-06,simple,0.002279432369865619
23,2022-04-07,simple,0.00210898998395699
23,2022-04-08,simple,0.00206964861205108
23,2022-04-11,simple,0.002003356158303908
23,2022-04-12,simple,0.001885360624567559
23,2022-04-13,simple,0.00185599486337725
23,2022-04-14,simple,0.0017113719286092031
23,2022-04-18,simple,0.001697372639226106
23,2022-04-19,simple,0.0016800428001075031
23,2022-04-20,simple,0.0016678467077853964
23,2022-04-21,simple,0.0016996291257435942
23,2022-04-22,simple,0.0017325892440370532
23,2022-04-25,simple,0.0017800684495872653
23,2022-04-26,simple,0.001859370721049718
23,2022-04-27,simple,0.0018444972485781306
